filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,3264,2448,heineken,1123,479,1574,698
1.jpg,3264,2448,heineken,1178,1042,1678,1231
1.jpg,3264,2448,heineken,1282,1654,1834,1931
1.jpg,3264,2448,tecate,23,865,774,1294
10.jpg,3264,2448,indioC,419,72,2578,887
10.jpg,3264,2448,indioC,411,939,2430,1576
100.jpg,3264,2448,tecate,67,102,1600,861
100.jpg,3264,2448,tecate,89,1513,1626,2268
100.jpg,3264,2448,tecate,1604,405,3060,1154
100.jpg,3264,2448,tecate,1600,1165,3097,1902
100.jpg,3264,2448,heineken,630,879,1378,1213
102.jpg,3264,2448,tecate,1593,387,3223,1172
102.jpg,3264,2448,tecate,1619,1183,3264,2018
102.jpg,3264,2448,tecate,4,817,1597,1628
102.jpg,3264,2448,heineken,545,1635,1378,1972
102.jpg,3264,2448,heineken,515,2198,1372,2448
103.jpg,3264,2448,tecate,4,961,1545,1765
103.jpg,3264,2448,heineken,500,287,1300,650
103.jpg,3264,2448,tecate,1523,9,3200,554
103.jpg,3264,2448,tecate,1534,565,3200,1357
103.jpg,3264,2448,tecate,1545,1372,3086,2142
104.jpg,3264,2448,tecate,511,739,1874,1509
104.jpg,3264,2448,tecate,1800,576,2397,1120
104.jpg,3264,2448,miller,582,5,2534,576
104.jpg,3264,2448,tecate,1878,1128,2463,1639
104.jpg,3264,2448,tecate,1789,1713,2519,2098
104.jpg,3264,2448,heineken,493,1535,1393,1824
105.jpg,3264,2448,tecate,423,657,2074,1594
105.jpg,3264,2448,tecate,2034,535,2748,1213
105.jpg,3264,2448,tecate,1986,57,2730,624
105.jpg,3264,2448,tecate,2071,1261,2700,1813
105.jpg,3264,2448,heineken,434,172,1434,650
105.jpg,3264,2448,heineken,289,2079,1234,2446
107.jpg,3264,2448,tecate,678,1042,1915,1705
107.jpg,3264,2448,tecate,641,2,1926,442
107.jpg,3264,2448,tecate,1974,798,2519,1298
107.jpg,3264,2448,tecate,1960,1368,2460,1765
107.jpg,3264,2448,tecate,1952,279,2474,813
108.jpg,3264,2448,tecate,1545,365,3178,1176
108.jpg,3264,2448,tecate,1563,1187,3264,2042
108.jpg,3264,2448,tecate,8,835,1519,1672
109.jpg,3264,2448,tecate,11,905,1615,1794
109.jpg,3264,2448,tecate,1623,502,3264,1368
109.jpg,3264,2448,tecate,1634,1394,3208,2220
109.jpg,3264,2448,heineken,478,298,1363,654
109.jpg,3264,2448,heineken,686,2005,1404,2424
11.jpg,3264,2448,indioC,474,191,2563,928
11.jpg,3264,2448,indioC,411,968,2426,1568
110.jpg,3264,2448,tecate,1537,376,3211,1220
110.jpg,3264,2448,tecate,1534,1231,3264,2111
